Comment,Description,Designator,Footprint,LibRef,Quantity

"1n","Cap Ceramic 0.001uF 50V X7R 10% Pad SMD 0402 125C Automotive T/R","C1","FP-C0402-BB-MFG","CMP-2008-02329-2","1"
"300p","CC0402 330 pF X7R 10.00% 25 V","C2, C3, C4, C5, C6, C7, C8, C9","FP-CC0402-MFG","CMP-03422-000106-1","8"
"0.1u","","C10, C11, C14, C17, C18, C19, C20, C21, C22","CAPC1608X92X38NL15T08","CMP-2006-01166-1","9"
"22p","C0603 22 pF X7R 30ppm/¯C 10.00% 100 V","C12, C13","FP-C0603C-CF-MFG","CMP-03020-026609-1","2"
"2.2p","CC0603 2.2 uF X7R 10.00% 10 V","C15, C16","FP-CC0603-DA-MFG","CMP-03422-000630-1","2"
"10u","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 50V","C23","FP-GRM21B-0_2-e0_2_0_7-MFG","CMP-06035-044754-1","1"
"100nF","","C25","CAPC2013X145X50ML20T25","CMP-1036-04420-2","1"
"2u2","CAP CER 2.2UF 16V X5R 0603","C300, C301","FP-CC0603-DA-MFG","CMP-03422-000257-1","2"
"22u","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 16V","C302, C303","FP-GRM21B-0_2-e0_2_0_7-IPC_C","CMP-06035-025383-1","2"
"10uF","CAP 10uF 6.3V Ý10% 0603 (1608 Metric) Thickness 1mm SMD","C304","CAPC0603(1608)100_M","CMP-1035-02796-1","1"
"100 nF","CAP CER 0.1UF 25V X5R 0402","C305","FP-C0402-BB-MFG","CMP-03020-014070-2","1"
"led","LED GREEN CLEAR 0402 SMD","D300","FP-SM0402GC-MFG","CMP-35283-000001-2","1"
"BLM21PG600BH1D","Chip Ferrite Bead, 0805, 60? @ 100MHz, 0.02?, 25%, 1.9A","FB1","FP-BLM21-0_2-t0_85-e0_5-IPC_C","CMP-06046-002606-1","1"
"120R","Chip Ferrite Bead, 0805, 60? @ 100MHz, 0.02?, 25%, 1.9A","FB2","FP-BLM21-0_2-t0_85-e0_5-IPC_C","CMP-06046-002606-1","1"
"CON-SMA-EDGE-S","CONN SMA JACK STR EDGE MNT","J1, J2","FP-CON-SMA-EDGE-S-MFG","CMP-204357-000001-1","2"
"USB4105-GF-A-060","USB Connector Type C SMT 12 Pin","J300","USB4105-GF-A-060","USB4105-GF-A-060","1"
"Programmator","0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS","P1","SMTC-TSW-104-08-X-S","CMP-1024-00357-1","1"
"10k","RES 10k? 5.00% 0.2W 0603","R1, R2, R6","FP-AC0603-IPC_A","CMP-03412-040683-1","3"
"5k","RES Thin Film,  4k?, 0.1%, 0.1W, 25ppm/¯C, 0603","R300, R301","FP-TFCR0603-IPC_A","CMP-250906-062905-1","2"
"1k","RES SMD 1.2K OHM 1% 1/10W 0402","R302","FP-MCS0402-IPC_C","CMP-2002-02445-2","1"
"HMC624ALP4ETR","RF ATTENUATOR 31.5DB 50OHM 24QFN","U1","FP-CP-24-16-IPC_C","CMP-09141-000007-1","1"
"STM32F407VET6","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 512 kB Flash, 192 kB Internal RAM, 82 I/Os, 100-pin LQFP, -40 to 85 degC, Tray","U2","STM-LQFP100_M","CMP-0243-00016-3","1"
"LDO","LDO Voltage Regulators 1A, 3.3V","U3","FP-AMS1117-IPC_C","CMP-209535-000001-1","1"
"FT232RL-REEL","IC USB FS SERIAL UART 28-SSOP","U4","FP-SSOP-28-MFG","CMP-0078-00029-4","1"
"NX3225GD-8MHZ-STD-CRA-3","Crystal Unit, 8 MHz, 8 pF, -40 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel","Y1","NDK-NX3225GD-8MHZ-STD-CRA-3_V","CMP-2000-07595-1","1"
